TweetID,TweetDate,UserName,DateJoined,TotalTweets,TotalFavs,TotalFollowers,TotalFriends,TotaListed,TweetFavs,TweetRTs,Verified,Geo,Language,Tweet,Hashtags,Mentions
1036433608691642368,Mon Sep 03 02:00:02 +0000 2018,CloudyButt,Wed Apr 08 21:03:55 +0000 2015,59284,4,229,63,550,0,0,FALSE,FALSE,en,"Al should've saved all those tapes in your butt. Problem solved.

#FearTWD 
#FTWD 
#FearTheWalkingDead","FearTWD,FTWD,FearTheWalkingDead",
1036433592652648448,Mon Sep 03 01:59:59 +0000 2018,rodimusprime,Thu Aug 28 15:15:41 +0000 2008,591767,102,25367,1155,764,2,1,TRUE,TRUE,en,Meanwhile that crazy lady is listening to the phone like #FearTWD https://t.co/UNHI8z38fC,FearTWD,JennaElfman
1036433590702272512,Mon Sep 03 01:59:58 +0000 2018,ZainapMcReedus,Mon Jun 18 00:42:34 +0000 2012,50731,38740,2059,4989,23,2,1,FALSE,TRUE,und,"????
@JennaElfman
#FearTWD https://t.co/JZkFF1VnId",FearTWD,
1036433588986765313,Mon Sep 03 01:59:58 +0000 2018,sonyairyna,Sat Nov 02 23:00:39 +0000 2013,34136,45405,5344,5027,69,2,0,FALSE,FALSE,en,His name is Glenn?????????????? #FearTWD,FearTWD,
1036433588768722944,Mon Sep 03 01:59:58 +0000 2018,Ebagv2,Sun Dec 20 20:06:41 +0000 2015,14918,10470,327,746,9,0,0,FALSE,TRUE,en,"That guy is going to come back and kill June, I'm guessing he'll be the Alpha of this series or maybe Governor #FearTWD",FearTWD,
1036433587510419456,Mon Sep 03 01:59:57 +0000 2018,carolcat17,Thu Jun 02 17:15:49 +0000 2011,30076,35718,2078,3181,36,0,0,FALSE,TRUE,en,#FearTWD June spoke to the guy who stole the van. Told him to join them.,FearTWD,
1036433583815061504,Mon Sep 03 01:59:57 +0000 2018,rick_wankster,Thu Apr 17 05:10:59 +0000 2014,14150,23711,3680,2781,33,0,0,FALSE,TRUE,en,Building up the group again. #FearTWD,FearTWD,ZainapMcReedus
1036433577402085382,Mon Sep 03 01:59:55 +0000 2018,sca_25,Sun Jul 05 18:36:11 +0000 2015,5057,995,222,657,28,0,2,FALSE,TRUE,en,"RT @ZainapMcReedus: ALTHEA IS A BEAUTIFUL CHARACTER ???? 
#FearTWD",FearTWD,
1036433577033064448,Mon Sep 03 01:59:55 +0000 2018,FandemoniumMag,Thu Jul 12 16:52:40 +0000 2018,830,52,118,782,0,0,0,FALSE,FALSE,en,His name's Quinn.  #FearTWD,FearTWD,
1036433567587475457,Mon Sep 03 01:59:53 +0000 2018,IamBatMILF,Sat Oct 31 23:59:05 +0000 2009,58931,3305,2392,1873,51,0,0,FALSE,TRUE,en,Wow. June gave her “real” name. #FearTWD,FearTWD,
1036433565184086016,Mon Sep 03 01:59:52 +0000 2018,alyciasbeck,Sat Mar 14 12:45:07 +0000 2015,84407,115197,4247,221,119,14,3,FALSE,FALSE,en,Currently rolling my eyes watching June scenes #FearTWD,FearTWD,
1036433544464269312,Mon Sep 03 01:59:47 +0000 2018,DoctorJay_Jay,Thu Sep 08 04:07:53 +0000 2016,2163,250,24,181,3,1,0,FALSE,FALSE,et,Mine's June Naomi Laura #FearTWD #deadbuzz,"FearTWD,deadbuzz",
1036433538709692418,Mon Sep 03 01:59:46 +0000 2018,Jmsceltics,Tue Mar 20 01:37:29 +0000 2012,25791,7907,1082,1622,10,0,0,FALSE,TRUE,en,Jon has competition #FearTWD,FearTWD,
1036433535849123840,Mon Sep 03 01:59:45 +0000 2018,BrLovers,Sat Feb 15 03:56:50 +0000 2014,110709,191413,2776,665,37,0,0,FALSE,TRUE,pt,o grupo se reunindo de novo é bom #FearTWD,FearTWD,"THEMOCOLLINS,kanya_sesser"
1036433521240428544,Mon Sep 03 01:59:42 +0000 2018,Arthurlee_M,Sat Jun 12 00:41:45 +0000 2010,325530,61220,2035,2790,311,0,140,FALSE,TRUE,en,RT @THEMOCOLLINS: My 1st walker kill! I’ll never forget her. The amazing @kanya_sesser ?????????#feartwd https://t.co/eZ0AU8rzs8,feartwd,"colmandomingo,JennaElfman,MaggieGrace"
1036433515427102720,Mon Sep 03 01:59:40 +0000 2018,JANoguera_76,Fri Sep 16 17:09:49 +0000 2016,10478,39913,219,421,1,0,92,FALSE,FALSE,en,RT @colmandomingo: #FearTWD Rockstars! @JennaElfman @MaggieGrace ?????? https://t.co/NJvGgRcOrP,FearTWD,
1036433503997571072,Mon Sep 03 01:59:38 +0000 2018,WilliamJTV,Tue Sep 08 04:47:45 +0000 2009,92175,3456,2795,1737,60,0,0,FALSE,FALSE,en,The witch is about to get Quinn? #FearTWD,FearTWD,
1036433501191585792,Mon Sep 03 01:59:37 +0000 2018,tooshort35,Sun May 18 06:54:40 +0000 2008,49816,436,1263,656,29,2,1,FALSE,FALSE,en,"Damnit June, stop telling everyone where you are and that you have all those supplies. Ugh. #FearTWD",FearTWD,colmandomingo
1036433497957777410,Mon Sep 03 01:59:36 +0000 2018,tootietaurus,Sat Aug 29 00:53:27 +0000 2009,98577,113307,507,880,27,0,72,FALSE,TRUE,en,RT @colmandomingo: #feartwd This stunt woman gets the MVP of the night. This was such a tricky stunt. Thank you for being game. https://t.c…,feartwd,FearTWD
1036433489829216256,Mon Sep 03 01:59:34 +0000 2018,FandemoniumMag,Thu Jul 12 16:52:40 +0000 2018,830,52,118,782,0,0,120,FALSE,FALSE,en,RT @FearTWD: More stories for Althea. #FearTWD https://t.co/3wrHITY4bF,FearTWD,
1036433484724809728,Mon Sep 03 01:59:33 +0000 2018,andimarquette,Sun Sep 07 17:46:55 +0000 2008,47469,15181,2049,2309,98,0,0,FALSE,FALSE,en,"I hate you, Quinn. I don't even know you. But I'm pretty sure I hate you. #FearTWD",FearTWD,FandemoniumMag
1036433483164467200,Mon Sep 03 01:59:33 +0000 2018,prevostscifi,Tue Sep 08 00:12:54 +0000 2015,53357,41628,1113,684,36,0,1,FALSE,FALSE,en,RT @FandemoniumMag: New people. You know I like new people.  #FearTWD,FearTWD,
